metric_key,metric_name,metric_type,domain,description,value
accepted_issues,Accepted Issues,INT,Issues,Accepted issues,0
alert_status,Quality Gate Status,LEVEL,Releasability,The project status with regard to its quality gate.,OK
analysis_from_sonarqube_9_4,Analysis From SonarQube 9.4,BOOL,Issues,Indicates whether the analysis has been run after the upgrade to SonarQube 9.4. It affects how the issues will be detected for branches that use reference branch as the strategy for detecting new code.,true
blocker_violations,Blocker Issues,INT,Issues,Blocker issues,2
branch_coverage,Condition Coverage,PERCENT,Coverage,Condition coverage,86.6
bugs,Bugs,INT,Reliability,Bugs,0
classes,Classes,INT,Size,Classes,55
code_smells,Code Smells,INT,Maintainability,Code Smells,21
cognitive_complexity,Cognitive Complexity,INT,Complexity,Cognitive complexity,59
comment_lines,Comment Lines,INT,Size,Number of comment lines,14
comment_lines_data,comment_lines_data,DATA,Size,,
comment_lines_density,Comments (%),PERCENT,Size,Comments balanced by ncloc + comment lines,0.7
complexity,Cyclomatic Complexity,INT,Complexity,Cyclomatic complexity,173
conditions_to_cover,Conditions to Cover,INT,Coverage,Conditions to cover,82
confirmed_issues,Confirmed Issues,INT,Issues,Confirmed issues,0
coverage,Coverage,PERCENT,Coverage,Coverage by tests,86.9
critical_violations,Critical Issues,INT,Issues,Critical issues,5
development_cost,Development Cost,STRING,Maintainability,Development cost,60480
duplicated_blocks,Duplicated Blocks,INT,Duplications,Duplicated blocks,0
duplicated_files,Duplicated Files,INT,Duplications,Duplicated files,0
duplicated_lines,Duplicated Lines,INT,Duplications,Duplicated lines,0
duplicated_lines_density,Duplicated Lines (%),PERCENT,Duplications,Duplicated lines balanced by statements,0.0
duplications_data,Duplication Details,DATA,Duplications,Duplications details,
effort_to_reach_maintainability_rating_a,Effort to Reach Maintainability Rating A,WORK_DUR,Maintainability,Effort to reach maintainability rating A,0
effort_to_reach_software_quality_maintainability_rating_a,Effort to Reach Maintainability Rating A,WORK_DUR,Maintainability,Effort to reach maintainability rating A,0
executable_lines_data,executable_lines_data,DATA,Coverage,,
false_positive_issues,False Positive Issues,INT,Issues,False positive issues,0
files,Files,INT,Size,Number of files,56
functions,Functions,INT,Size,Functions,113
generated_lines,Generated Lines,INT,Size,Number of generated lines,
generated_ncloc,Generated Lines of Code,INT,Size,Generated non Commenting Lines of Code,
high_impact_accepted_issues,Blocker and High Severity Accepted Issues,INT,Issues,Accepted issues with blocker or high impact,0
info_violations,Info Issues,INT,Issues,Info issues,0
issues_in_sandbox,Issues in Sandbox,INT,Issues,Count of issues that are in sandbox status.,0
last_commit_date,Date of Last Commit,MILLISEC,SCM,,1774312891595
line_coverage,Line Coverage,PERCENT,Coverage,Line coverage,86.9
lines,Lines,INT,Size,Lines,2442
lines_to_cover,Lines to Cover,INT,Coverage,Lines to cover,628
maintainability_issues,Maintainability Issues,DATA,Maintainability,Maintainability issues,"{""INFO"":0,""LOW"":7,""MEDIUM"":9,""HIGH"":5,""BLOCKER"":0,""total"":21}"
major_violations,Major Issues,INT,Issues,Major issues,9
minor_violations,Minor Issues,INT,Issues,Minor issues,7
ncloc,Lines of Code,INT,Size,Non commenting lines of code,2016
ncloc_data,ncloc_data,DATA,Size,,
ncloc_language_distribution,Lines of Code Per Language,DATA,Size,Non Commenting Lines of Code Distributed By Language,java=1858;xml=158
new_accepted_issues,New Accepted Issues,INT,Issues,New accepted issues,0
new_blocker_violations,New Blocker Issues,INT,Issues,New Blocker issues,0
new_branch_coverage,Condition Coverage on New Code,PERCENT,Coverage,Condition coverage of new/changed code,
new_bugs,New Bugs,INT,Reliability,New Bugs,0
new_code_smells,New Code Smells,INT,Maintainability,New Code Smells,0
new_conditions_to_cover,Conditions to Cover on New Code,INT,Coverage,Conditions to cover on new code,0
new_coverage,Coverage on New Code,PERCENT,Coverage,Coverage of new/changed code,
new_critical_violations,New Critical Issues,INT,Issues,New Critical issues,0
new_development_cost,Development Cost on New Code,FLOAT,Maintainability,Development cost on new code,0.0
new_duplicated_blocks,Duplicated Blocks on New Code,INT,Duplications,Duplicated blocks on new code,0
new_duplicated_lines,Duplicated Lines on New Code,INT,Duplications,Duplicated Lines on New Code,0
new_duplicated_lines_density,Duplicated Lines (%) on New Code,PERCENT,Duplications,Duplicated lines (%) on new code balanced by statements,
new_info_violations,New Info Issues,INT,Issues,New Info issues,0
new_issues_in_sandbox,New Issues in Sandbox,INT,Issues,Count of new issues that are in sandbox status.,0
new_line_coverage,Line Coverage on New Code,PERCENT,Coverage,Line coverage of added/changed code,
new_lines,New Lines,INT,Size,New lines,0
new_lines_to_cover,Lines to Cover on New Code,INT,Coverage,Lines to cover on new code,0
new_maintainability_issues,New Maintainability Issues,DATA,Maintainability,New maintainability issues,"{""INFO"":0,""LOW"":0,""MEDIUM"":0,""HIGH"":0,""BLOCKER"":0,""total"":0}"
new_maintainability_rating,Maintainability Rating on New Code,RATING,Maintainability,Maintainability rating on new code,1.0
new_major_violations,New Major Issues,INT,Issues,New Major issues,0
new_minor_violations,New Minor Issues,INT,Issues,New Minor issues,0
new_reliability_issues,New Reliability Issues,DATA,Reliability,New reliability issues,"{""INFO"":0,""LOW"":0,""MEDIUM"":0,""HIGH"":0,""BLOCKER"":0,""total"":0}"
new_reliability_rating,Reliability Rating on New Code,RATING,Reliability,Reliability rating on new code,1.0
new_reliability_remediation_effort,Reliability Remediation Effort on New Code,WORK_DUR,Reliability,Reliability remediation effort on new code,0
new_security_hotspots,New Security Hotspots,INT,SecurityReview,New Security Hotspots,0
new_security_hotspots_reviewed,Security Hotspots Reviewed on New Code,PERCENT,SecurityReview,Percentage of Security Hotspots Reviewed on New Code,
new_security_hotspots_reviewed_status,Security Review Reviewed Status on New Code,INT,SecurityReview,Security Review Reviewed Status on New Code,0
new_security_hotspots_to_review_status,Security Review To Review Status on New Code,INT,SecurityReview,Security Review To Review Status on New Code,0
new_security_issues,New Security Issues,DATA,Security,New security issues,"{""INFO"":0,""LOW"":0,""MEDIUM"":0,""HIGH"":0,""BLOCKER"":0,""total"":0}"
new_security_rating,Security Rating on New Code,RATING,Security,Security rating on new code,1.0
new_security_remediation_effort,Security Remediation Effort on New Code,WORK_DUR,Security,Security remediation effort on new code,0
new_security_review_rating,Security Review Rating on New Code,RATING,SecurityReview,Security Review Rating on New Code,1.0
new_software_quality_blocker_issues,New Blocker Severity Issues,INT,Issues,New Blocker Severity issues,0
new_software_quality_high_issues,New High Severity Issues,INT,Issues,New High Severity issues,0
new_software_quality_info_issues,New Info Severity Issues,INT,Issues,New Info Severity issues,0
new_software_quality_low_issues,New Low Severity Issues,INT,Issues,New Low Severity issues,0
new_software_quality_maintainability_debt_ratio,Technical Debt Ratio on New Code,PERCENT,Maintainability,Technical Debt Ratio on New Code,0.0
new_software_quality_maintainability_issues,New Maintainability Issues,INT,Maintainability,New Maintainability Issues,0
new_software_quality_maintainability_rating,Maintainability Rating on New Code,RATING,Maintainability,Maintainability rating on new code,1.0
new_software_quality_maintainability_remediation_effort,Added Technical Debt,WORK_DUR,Maintainability,Total effort (in minutes) to fix all the maintainability issues on new code on the component and therefore to comply to all the requirements.,0
new_software_quality_medium_issues,New Medium Severity Issues,INT,Issues,New Medium Severity issues,0
new_software_quality_reliability_issues,New Reliability Issues,INT,Reliability,New Reliability Issues,0
new_software_quality_reliability_rating,Reliability Rating on New Code,RATING,Reliability,Reliability rating on new code,1.0
new_software_quality_reliability_remediation_effort,Reliability Remediation Effort on New Code,WORK_DUR,Reliability,Reliability remediation effort on new code,0
new_software_quality_security_issues,New Security Issues,INT,Security,New Security Issues,0
new_software_quality_security_rating,Security Rating on New Code,RATING,Security,Security rating on new code,1.0
new_software_quality_security_remediation_effort,Security Remediation Effort on New Code,WORK_DUR,Security,Security remediation effort on new code,0
new_sqale_debt_ratio,Technical Debt Ratio on New Code,PERCENT,Maintainability,Technical Debt Ratio of new/changed code.,0.0
new_technical_debt,Added Technical Debt,WORK_DUR,Maintainability,Added technical debt,0
new_uncovered_conditions,Uncovered Conditions on New Code,INT,Coverage,Uncovered conditions on new code,0
new_uncovered_lines,Uncovered Lines on New Code,INT,Coverage,Uncovered lines on new code,0
new_violations,New Issues,INT,Issues,New issues,0
new_vulnerabilities,New Vulnerabilities,INT,Security,New Vulnerabilities,0
open_issues,Open Issues,INT,Issues,Open issues,23
prioritized_rule_issues,Issues from prioritized rules,INT,Issues,Count of issues that have a flag Prioritized Rule.,
projects,Project branches,INT,Size,Number of project branches,
public_api,Public API,INT,Documentation,Public API,
public_documented_api_density,Public Documented API (%),PERCENT,Documentation,Public documented classes and functions balanced by ncloc,
public_undocumented_api,Public Undocumented API,INT,Documentation,"Public undocumented classes, functions and variables",
pull_request_fixed_issues,Pull request fixed issues,INT,Issues,Count of issues that would be fixed by the pull request.,
quality_gate_details,Quality Gate Details,DATA,General,The project detailed status with regard to its quality gate,"{""level"":""OK"",""conditions"":[{""metric"":""new_violations"",""op"":""GT"",""period"":1,""error"":""0"",""actual"":""0"",""level"":""OK""}],""ignoredConditions"":false}"
quality_profiles,Profiles,DATA,General,Details of quality profiles used during analysis,"[{""key"":""07f8f14d-1195-4d22-a00f-6b5c4b63c582"",""language"":""java"",""name"":""Sonar way"",""rulesUpdatedAt"":""2026-03-17T13:06:30+0000""},{""key"":""7cd6cb1d-6ccb-414c-a520-aefb993e21ac"",""language"":""xml"",""name"":""Sonar way"",""rulesUpdatedAt"":""2026-03-17T13:06:31+0000""}]"
reliability_issues,Reliability Issues,DATA,Reliability,Reliability issues,"{""INFO"":0,""LOW"":0,""MEDIUM"":0,""HIGH"":0,""BLOCKER"":0,""total"":0}"
reliability_rating,Reliability Rating,RATING,Reliability,Reliability rating,1.0
reliability_remediation_effort,Reliability Remediation Effort,WORK_DUR,Reliability,Reliability Remediation Effort,0
reopened_issues,Reopened Issues,INT,Issues,Reopened issues,0
security_hotspots,Security Hotspots,INT,SecurityReview,Security Hotspots,1
security_hotspots_reviewed,Security Hotspots Reviewed,PERCENT,SecurityReview,Percentage of Security Hotspots Reviewed,0.0
security_hotspots_reviewed_status,Security Review Reviewed Status,INT,SecurityReview,Security Review Reviewed Status,0
security_hotspots_to_review_status,Security Review To Review Status,INT,SecurityReview,Security Review To Review Status,1
security_issues,Security Issues,DATA,Security,Security issues,"{""INFO"":0,""LOW"":0,""MEDIUM"":0,""HIGH"":0,""BLOCKER"":2,""total"":2}"
security_rating,Security Rating,RATING,Security,Security rating,5.0
security_remediation_effort,Security Remediation Effort,WORK_DUR,Security,Security remediation effort,120
security_review_rating,Security Review Rating,RATING,SecurityReview,Security Review Rating,5.0
skipped_tests,Skipped Unit Tests,INT,Coverage,Number of skipped unit tests,0
software_quality_blocker_issues,Blocker Severity Issues,INT,Issues,Blocker Severity issues,2
software_quality_high_issues,High Severity Issues,INT,Issues,High Severity issues,5
software_quality_info_issues,Info Severity Issues,INT,Issues,Info Severity issues,0
software_quality_low_issues,Low Severity Issues,INT,Issues,Low Severity issues,7
software_quality_maintainability_debt_ratio,Technical Debt Ratio,PERCENT,Maintainability,Ratio of the actual technical debt compared to the estimated cost to develop the whole source code from scratch,0.2
software_quality_maintainability_issues,Maintainability Issues,INT,Maintainability,Maintainability Issues,21
software_quality_maintainability_rating,Maintainability Rating,RATING,Maintainability,Maintainability rating,1.0
software_quality_maintainability_remediation_effort,Technical Debt,WORK_DUR,Maintainability,Total effort (in minutes) to fix all the maintainability issues on the component and therefore to comply to all the requirements.,110
software_quality_medium_issues,Medium Severity Issues,INT,Issues,Medium Severity issues,9
software_quality_reliability_issues,Reliability Issues,INT,Reliability,Reliability Issues,0
software_quality_reliability_rating,Reliability Rating,RATING,Reliability,Reliability rating,1.0
software_quality_reliability_remediation_effort,Reliability Remediation Effort,WORK_DUR,Reliability,Reliability remediation effort,0
software_quality_security_issues,Security Issues,INT,Security,Security Issues,2
software_quality_security_rating,Security Rating,RATING,Security,Security rating,5.0
software_quality_security_remediation_effort,Security Remediation Effort,WORK_DUR,Security,Security remediation effort,120
sqale_debt_ratio,Technical Debt Ratio,PERCENT,Maintainability,Ratio of the actual technical debt compared to the estimated cost to develop the whole source code from scratch,0.2
sqale_index,Technical Debt,WORK_DUR,Maintainability,Total effort (in minutes) to fix all the issues on the component and therefore to comply to all the requirements.,110
sqale_rating,Maintainability Rating,RATING,Maintainability,A-to-E rating based on the technical debt ratio,1.0
statements,Statements,INT,Size,Number of statements,308
test_errors,Unit Test Errors,INT,Coverage,Number of unit test errors,0
test_execution_time,Unit Test Duration,MILLISEC,Coverage,Execution duration of unit tests,3821
test_failures,Unit Test Failures,INT,Coverage,Number of unit test failures,0
test_success_density,Unit Test Success (%),PERCENT,Coverage,Density of successful unit tests,100.0
tests,Unit Tests,INT,Coverage,Number of unit tests,84
unanalyzed_c,Number of unanalyzed c files,INT,Size,,
unanalyzed_cpp,Number of unanalyzed c++ files,INT,Size,,
uncovered_conditions,Uncovered Conditions,INT,Coverage,Uncovered conditions,11
uncovered_lines,Uncovered Lines,INT,Coverage,Uncovered lines,82
violations,Issues,INT,Issues,Issues,23
vulnerabilities,Vulnerabilities,INT,Security,Vulnerabilities,2