metric_key,date,value
bugs,2026-03-26T14:40:55+0100,1
bugs,2026-03-26T14:50:42+0100,25
bugs,2026-03-26T14:53:55+0100,1
bugs,2026-03-26T15:15:40+0100,1
bugs,2026-03-27T18:34:32+0100,1
code_smells,2026-03-26T14:40:55+0100,26
code_smells,2026-03-26T14:50:42+0100,3896
code_smells,2026-03-26T14:53:55+0100,26
code_smells,2026-03-26T15:15:40+0100,26
code_smells,2026-03-27T18:34:32+0100,30
coverage,2026-03-26T14:40:55+0100,0.0
coverage,2026-03-26T14:50:42+0100,0.0
coverage,2026-03-26T14:53:55+0100,0.0
coverage,2026-03-26T15:15:40+0100,50.6
coverage,2026-03-27T18:34:32+0100,53.8
vulnerabilities,2026-03-26T14:40:55+0100,1
vulnerabilities,2026-03-26T14:50:42+0100,1
vulnerabilities,2026-03-26T14:53:55+0100,1
vulnerabilities,2026-03-26T15:15:40+0100,1
vulnerabilities,2026-03-27T18:34:32+0100,1